Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Exponential,2,1,8.2,Statistical,0.2659335234809352,0.6121189913258775
Constant,2,1,8.3,Simulation,0.316003,0.563375
Constant,2,1,8.3,Statistical,0.3140914410845854,0.5654273455597514
Exponential,2,1,8.3,Simulation,0.271986,0.607325
Exponential,2,1,8.3,Statistical,0.2722621388903542,0.6072591992053812
Constant,2,1,8.4,Simulation,0.3219,0.559435
Constant,2,1,8.4,Statistical,0.32028532146664923,0.5606676829041285
Exponential,2,1,8.4,Simulation,0.279199,0.601485
Exponential,2,1,8.4,Statistical,0.27852597254917044,0.6024292676615007
Constant,2,1,8.5,Simulation,0.327521,0.554673
Constant,2,1,8.5,Statistical,0.32639953335823896,0.555953952542585
Exponential,2,1,8.5,Simulation,0.284988,0.597021
Exponential,2,1,8.5,Statistical,0.28472370803269076,0.5976317392299804
Constant,2,1,8.6,Simulation,0.333269,0.550557
Constant,2,1,8.6,Statistical,0.33243402971978236,0.5512873770522762
Exponential,2,1,8.6,Simulation,0.291101,0.592818
Exponential,2,1,8.6,Statistical,0.29085424779665486,0.5928688813788081
Constant,2,1,8.7,Simulation,0.340182,0.545374
Constant,2,1,8.7,Statistical,0.3383889004374405,0.5466689882141234
Exponential,2,1,8.7,Simulation,0.296096,0.5887
Exponential,2,1,8.7,Statistical,0.2969166951791955,0.5881427076208853
Constant,2,1,8.8,Simulation,0.345112,0.541279
Constant,2,1,8.8,Statistical,0.3442643583320307,0.5420996440396426
Exponential,2,1,8.8,Simulation,0.302695,0.583304
Exponential,2,1,8.8,Statistical,0.302910337524568,0.5834549973086188
Constant,2,1,8.9,Simulation,0.351803,0.536415
Constant,2,1,8.9,Statistical,0.35006072629075413,0.5375800444739901
Exponential,2,1,8.9,Simulation,0.31055,0.577352
Exponential,2,1,8.9,Statistical,0.3088346303986475,0.5788073141535781
Constant,2,1,9.0,Simulation,0.356225,0.532884
Constant,2,1,9.0,Statistical,0.3557784254494768,0.533110745862556
Exponential,2,1,9.0,Simulation,0.315044,0.573788
Exponential,2,1,9.0,Statistical,0.31468918285929703,0.5742010235204198
